year,month,taxa,species_portuguese,species_english,species_sci,production_kg,value_rs
1998,4,Peixe Ósseo,Pargo-rosa,Common sea bream,Pagrus pagrus,430,0
1998,4,Peixe Ósseo,Paru,Paru,NA,48,37.8
1998,4,Peixe Ósseo,Peixe-prego,Peixe-prego,Macrourus spp.,230,0
1998,4,Peixe Ósseo,Pescada-amarela,Acoupa weakfish,Cynoscion acoupa,31,0
1998,4,Peixe Ósseo,Pescada-branca,Weakfish,Cynoscion leiarchus,2053,688
1998,4,Peixe Ósseo,Pescada-cambucu,Weakfish,NA,1507,55.5
1998,4,Peixe Ósseo,Pescada-dentão,Weakfish,NA,418,1062.42
1998,4,Peixe Ósseo,Pescada-foguete,Weakfish,NA,91478,37392.82
1998,4,Peixe Ósseo,Pescadas agrupadas,Weakfish,NA,55,88.9
1998,4,Peixe Ósseo,Porco,Porco,NA,43000,0
1998,4,Peixe Ósseo,Prejereba,Atlantic tripletail,Lobotes surinamensis,1220,2209.36
1998,4,Peixe Ósseo,Robalo-flecha,Robalo-flecha,NA,73,390.77
1998,4,Peixe Ósseo,Robalo-peva,Robalo-peva,NA,276,994.89
1998,4,Peixe Ósseo,Sardinha-bandeira,Brazilian sardinella,NA,60,0
1998,4,Peixe Ósseo,Sardinha-verdadeira,Brazilian sardinella,Sardinella brasiliensis,4114222,0
1998,4,Peixe Ósseo,Sari-sari,Sari-sari,NA,111,8.8
1998,4,Peixe Ósseo,Sororoca,Sororoca,Scomberomorus,1548,2611
1998,4,Peixe Ósseo,Tainha,Mullet,Mugil spp.,10884,13227.05
1998,4,Peixe Ósseo,Tortinha,Bigtooth corvina,Isopisthus parvipinnis,110,12.9
1998,4,Peixe Ósseo,Traíra,Traíra,NA,1052,1209.62
1998,4,Peixe Ósseo,Vermelho,Snapper,Lutjanus spp.,60,0
1998,5,Crustáceo,Camarão-estuarino,Shrimp,NA,607,4249
1998,5,Crustáceo,Camarão-legítimo,Shrimp,Litopenaeus schimitti,72624,94406.5
1998,5,Crustáceo,Camarão-rosa,Shrimp,Farfantepenaeus paulensis,30204,0
1998,5,Crustáceo,Camarão-sete-barbas,Shrimp,Xiphopenaeus kroyeri,389408,177471.2
