year,month,taxa,species_portuguese,species_english,species_sci,production_kg,value_rs
2014,3,Crustáceo,Camarão-rosa,Shrimp,Farfantepenaeus paulensis,1784.5,72962
2014,3,Crustáceo,Camarão-sete-barbas,Shrimp,Xiphopenaeus kroyeri,2404,21405
2014,3,Crustáceo,Caranguejo-uçá,Crab,NA,11874.226,60370.8
2014,3,Crustáceo,Lagosta,Lobster,Panulirus laevicauda,9.5,485
2014,3,Crustáceo,Lagostim,Norway lobster,Metanephrops rubellus,3680,32010
2014,3,Crustáceo,Lagostim-de-iguape,Crayfish,NA,61,0
2014,3,Crustáceo,Pitú-de-iguape,Crayfish,NA,611.85,7627.94
2014,3,Crustáceo,Sapateira,Edible crab,Cancer pagurus,60,1084
2014,3,Crustáceo,Siri-azul,Crab,NA,5703.7,45312.98
2014,3,Crustáceo,Siris agrupados,Crab,NA,19.01,56.41
2014,3,Molusco,Berbigão,Cockle,Anomalocardia brasiliana,128,565
2014,3,Molusco,Lula,Squid,Loligo sanpaulensis,44642.9,417442.52
2014,3,Molusco,Mexilhão,Mussel,Perna perna,3216.3,35773.17
2014,3,Molusco,Mexilhão-do-mangue,Mussel,NA,396.55,2002.53
2014,3,Molusco,Ostra,Oyster,Crassostrea spp.,21416.16,69815.73
2014,3,Molusco,Polvo,Octopus,Octopus spp.,31345.5,380904.75
2014,3,Molusco,Pregoaí,Pregoaí,NA,50,500
2014,3,Molusco,Saquaritá,Bivalve,NA,53,212
2014,3,Peixe Cartilaginoso,Anequim,Beaumaris shark,Lamna nasus,1508,14978
2014,3,Peixe Cartilaginoso,Cação-anjo,Shark,NA,76,272
2014,3,Peixe Cartilaginoso,Cação-azul,Blue dog,Prionace glauca,5223,40576
2014,3,Peixe Cartilaginoso,Cação-rola-rola,Shark,NA,69.78,470.03
2014,3,Peixe Cartilaginoso,Cações agrupados,Shark,NA,3093.04,25534.42
2014,3,Peixe Cartilaginoso,Cambeva,Bronze hammerhead shark,Sphyrna lewini,48.4,511.3
