"year","common_name","scientific_name","fishing_entity","fishing_sector","Total_tonnes","Landings_Value"
1954,"Herrings, sardines, menhadens","Clupeidae","Brazil","Subsistence",42.9265477789,24124.7198517418
1954,"Jacks, pompanos","Carangidae","Brazil","Subsistence",7.9145408163,18725.8035713658
1954,"King weakfish","Macrodon ancylodon","Brazil","Subsistence",4.6780589096,13033.0721221456
1954,"Marine fishes nei","Marine fishes not identified","Brazil","Subsistence",91.6009242319,152790.341618809
1954,"Marine fishes nei","Marine fishes not identified","Chile","Subsistence",17.8973424103,14962.1782550375
1954,"Marine fishes nei","Marine fishes not identified","Peru","Subsistence",588.6323142947,120669.624430413
1954,"Medusafishes","Centrolophidae","Chile","Subsistence",1.9802845522,2352.57804803928
1954,"Pacific menhaden","Ethmidium maculatum","Peru","Subsistence",470.8424378688,46613.4013490068
1954,"Pacific sierra","Scomberomorus sierra","Peru","Subsistence",24.9039644539,9015.23513230934
1954,"Peruvian banded croaker","Paralonchurus peruanus","Peru","Subsistence",8.9022120236,3053.45872410895
1954,"Peruvian morwong","Cheilodactylus variegatus","Peru","Subsistence",0.5017349772,177.614181920959
1954,"Peruvian rock seabass","Paralabrax humeralis","Peru","Subsistence",64.3958924101,31103.2160340996
1954,"Peruvian weakfish","Cynoscion analis","Peru","Subsistence",23.2231618008,10032.405897947
1954,"Rainbow runner","Elagatis bipinnulata","Chile","Subsistence",2.640379403,1515.57777730029
1954,"Sea catfishes, coblers","Ariidae","Brazil","Subsistence",15.4076182829,44697.5006386929
1954,"Sea snails","Gastropoda","Peru","Subsistence",0.1451447613,97.6824243246291
1954,"Sharks, rays, skates","Elasmobranchii","Brazil","Subsistence",7.320730325,16032.39941175
1954,"Skates and rays","Rajiformes","Peru","Subsistence",22.1587668849,15843.5183227272
1954,"Skipjack tuna","Katsuwonus pelamis","Peru","Subsistence",3.7007075961,2634.90380844611
1954,"Spiny lobsters","Panulirus","Chile","Subsistence",0.2750395211,1155.71606783823
1954,"Swimming crabs","Portunidae","Brazil","Subsistence",14.0702947846,20627.0521542236
1954,"Tilefishes","Malacanthidae","Peru","Subsistence",41.0910624903,13806.5969967547
1954,"Warehous, butterfishes","Seriolella","Peru","Subsistence",89.3124097589,58856.8780311301
1954,"Weakfishes","Cynoscion","Brazil","Subsistence",80.6444794591,282658.900504145
1954,"Whitemouth croaker","Micropogonias furnieri","Brazil","Subsistence",8.7968725546,12359.605939213
1954,"Yellowtail amberjack","Seriola lalandi","Chile","Subsistence",5.27735,8485.9788
