"species","year","tons","sc_name","en_name","group","en_group"
"CONGRIO COLORADO","2016",445,"Genypterus chilensis","Red cusk-eel","congrio","Cusk-eel"
"CONGRIO DORADO","2016",1250,"Genypterus blacodes","Pink cusk-eel","congrio","Cusk-eel"
"CONGRIO NEGRO","2016",145,"Genypterus maculatus","Black cusk-eel","congrio","Cusk-eel"
"CORVINA","2016",1670,"Cilus gilberti","Corvina drum","pescado_otros","Fish"
"DORADO DE ALTURA","2016",NA,"Coryphaena hippurus","Common dolphinfish","pescado_otros","Fish"
"DRACO RAYADO","2016",94,"Champsocephalus gunnari","Mackerel icefish","pescado_otros","Fish"
"HUAIQUIL O CORVINILLA","2016",5,"Micropogonias manni","Micropogonias manni","pescado_otros","Fish"
"JERGUILLA","2016",3,"Aplodactylus punctatus","Jerguilla","pescado_otros","Fish"
"JUREL","2016",323298,"Trachurus murphyi","Chilean jack mackerel","jurel","Jack mackerel"
"LENGUADO","2016",15,"Paralichthys spp.","Large-tooth flounders","pescado_otros","Fish"
"LISA","2016",55,"Mugil cephalus","Flathead grey mullet","pescado_otros","Fish"
"MACHUELO TRITRE","2016",9039,"Ethmidium maculatum","Pacific menhaden","pescado_otros","Fish"
"MARLIN","2016",28,"Tetrapturus spp.","Tetrapturus","pescado_otros","Fish"
"MARRAJO O TIBURON","2016",387,"Isurus oxyrinchus","Shortfin mako","tiburon","Shark"
"MERLUZA COMUN","2016",20886,"Merluccius gayi gayi","South Pacific hake","merluza","Hake"
"MERLUZA DE COLA","2016",28108,"Macruronus magellanicus","Patagonian grenadier","merluza","Hake"
"MERLUZA DE TRES ALETAS","2016",8269,"Micromesistius australis","Southern blue whiting","merluza","Hake"
"MERLUZA DEL SUR","2016",16804,"Merluccius australis","Southern hake","merluza","Hake"
"NANUE","2016",NA,"Kiphosus sandwicensis","Pacific chub","pescado_otros","Fish"
"ORANGE ROUGHY","2016",NA,"Hoplosthethus atlanticus","Orange roughy","pescado_otros","Fish"
"PAMPANITO","2016",9268,"Stromateus stellatus","Starry butterfish","pescado_otros","Fish"
"PEJEGALLO","2016",626,"Callorhinchus callorhynchus","American Elephantfish","pescado_otros","Fish"
"PEJEPERRO","2016",NA,"Semicossyphus maculatus","Sheephead","pescado_otros","Fish"
"PEJERRATA","2016",47,"Coelorhynchus chilensis","Chilean grenadier","pescado_otros","Fish"
